Rodada 1,,,,Acertos,,Rodada 2,,,,Acertos,,Rodada 3,,,,Acertos,,Classificação Roger,Pontos,PJ,V,E,D,GM,GS,Saldo de Gols
São Paulo,2,0,Sport,0,,Corinthians,2,0,Vasco,3,,Bragantino,1,1,Botafogo,0,,Atlético MG,57,38,16,9,13,40,35,5
Cruzeiro,3,0,Mirassol,3,,Ceará,0,0,Grêmio,0,,Juventude,1,0,Ceará,4,,Bahia,60,38,18,6,14,47,45,2
Grêmio,0,1,Atlético MG,0,,Botafogo,2,0,Juventude,5,,Palmeiras,2,1,Corinthians,3,,Botafogo,60,38,18,6,14,46,41,5
Fortaleza,1,2,Fluminense,0,,Fluminense,2,1,Bragantino,5,,Vasco,2,1,Sport,3,,Bragantino,44,38,12,8,18,30,39,-9
Juventude,1,1,Vitória,0,,Atlético MG,1,0,São Paulo,0,,Bahia,2,1,Mirassol,0,,Ceará,33,38,9,6,23,22,45,-23
Flamengo,2,1,Internacional,0,,Mirassol,1,3,Fortaleza,0,,São Paulo,2,0,Cruzeiro,0,,Corinthians,64,38,20,4,14,47,39,8
Palmeiras,3,1,Botafogo,0,,Internacional,3,1,Cruzeiro,3,,Grêmio,1,1,Flamengo,0,,Cruzeiro,73,38,23,4,11,57,35,22
Vasco,1,1,Santos,0,,Vitória,0,2,Flamengo,3,,Fluminense,2,0,Santos,3,,Flamengo,96,38,31,3,4,78,26,52
Bahia,2,2,Corinthians,3,,Sport,0,1,Palmeiras,3,,Fortaleza,1,2,Internacional,0,,Fluminense,111,38,37,0,1,80,26,54
Bragantino,1,0,Ceará,0,,Santos,2,2,Bahia,5,,Atlético MG,1,0,Vitória,0,,Fortaleza,37,38,10,7,21,29,47,-18
,,,,,,,,,,,,,,,,,,Grêmio,41,38,11,8,19,30,40,-10
Rodada 4,,,,Acertos,,Rodada 5,,,,Acertos,,Rodada 6,,,,Acertos,,Internacional,53,38,15,8,15,44,39,5
Ceará,2,1,Vasco,5,,Corinthians,2,0,Sport,3,,Internacional,3,1,Juventude,5,,Juventude,19,37,4,7,26,21,58,-37
Botafogo,1,0,São Paulo,0,,Vasco,1,3,Flamengo,0,,Mirassol,1,1,Atlético MG,3,,Mirassol,61,38,18,7,13,50,44,6
Mirassol,2,1,Grêmio,3,,Grêmio,0,1,Internacional,0,,Ceará,0,1,São Paulo,0,,Palmeiras,100,38,32,4,2,73,29,44
Sport,1,0,Bragantino,0,,Juventude,1,1,Mirassol,3,,Sport,1,2,Fortaleza,0,,Santos,45,38,13,6,19,34,44,-10
Corinthians,1,2,Fluminense,3,,São Paulo,1,0,Santos,4,,Botafogo,1,2,Fluminense,0,,São Paulo,55,38,16,7,15,40,38,2
Internacional,1,0,Palmeiras,0,,Atlético MG,2,1,Botafogo,4,,Flamengo,1,0,Corinthians,3,,Sport,6,38,1,3,34,10,59,-49
Flamengo,2,0,Juventude,3,,Fluminense,3,0,Vitória,0,,Palmeiras,2,1,Bahia,0,,Vasco,41,38,12,5,21,40,54,-14
Santos,1,0,Atlético MG,3,,Fortaleza,1,1,Palmeiras,0,,Cruzeiro,3,1,Vasco,3,,Vitória,28,38,8,4,26,16,50,-34
Vitória,2,1,Fortaleza,5,,Bragantino,1,1,Cruzeiro,0,,Vitória,1,0,Grêmio,0,,,,,,,,,,
Cruzeiro,1,2,Bahia,0,,Bahia,3,1,Ceará,3,,Santos,1,0,Bragantino,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Classificação Roger,Pontos,PJ,V,E,D,GM,GS,Saldo de Gols
Rodada 7,,,,Acertos,,Rodada 8,,,,Acertos,,Rodada 9,,,,Acertos,1,Fluminense,111,38,37,0,1,80,26,54
São Paulo,2,0,Fortaleza,0,,Fortaleza,1,0,Juventude,3,,Ceará,1,0,Sport,3,2,Palmeiras,100,38,32,4,2,73,29,44
Fluminense,2,0,Sport,3,,Mirassol,1,1,Corinthians,0,,Vasco,1,1,Fortaleza,0,3,Flamengo,96,38,31,3,4,78,26,52
Corinthians,1,0,Internacional,3,,Grêmio,1,1,Bragantino,5,,São Paulo,2,0,Grêmio,3,4,Cruzeiro,73,38,23,4,11,57,35,22
Ceará,1,0,Vitória,5,,Vitória,2,1,Vasco,5,,Corinthians,2,1,Santos,4,5,Corinthians,64,38,20,4,14,47,39,8
Bahia,2,1,Botafogo,4,,Flamengo,3,0,Bahia,3,,Bahia,2,0,Vitória,3,6,Mirassol,61,38,18,7,13,50,44,6
Vasco,1,3,Palmeiras,3,,Sport,1,2,Cruzeiro,3,,Juventude,1,2,Fluminense,0,7,Botafogo,60,38,18,6,14,46,41,5
Grêmio,2,0,Santos,3,,Palmeiras,2,1,São Paulo,4,,Flamengo,3,0,Botafogo,0,8,Bahia,60,38,18,6,14,47,45,2
Cruzeiro,1,3,Flamengo,0,,Atlético MG,1,2,Fluminense,0,,Bragantino,1,2,Palmeiras,5,9,Atlético MG,57,38,16,9,13,40,35,5
Bragantino,2,1,Mirassol,4,,Botafogo,1,0,Internacional,3,,Cruzeiro,1,1,Atlético MG,3,10,São Paulo,55,38,16,7,15,40,38,2
Juventude,1,1,Atlético MG,0,,Santos,1,0,Ceará,0,,Internacional,2,0,Mirassol,0,11,Internacional,53,38,15,8,15,44,39,5
,,,,,,,,,,,,,,,,,12,Santos,45,38,13,6,19,34,44,-10
Rodada 10,,,,Acertos,,Rodada 11,,,,Acertos,,Rodada 12,,,,Acertos,13,Bragantino,44,38,12,8,18,30,39,-9
Fluminense,1,0,Vasco,4,,Bahia,1,0,São Paulo,4,,Bragantino,2,1,Bahia,0,14,Vasco,41,38,12,5,21,40,54,-14
São Paulo,2,1,Mirassol,0,,Vasco,2,1,Bragantino,0,,Vitória,0,1,Cruzeiro,0,15,Grêmio,41,38,11,8,19,30,40,-10
Atlético MG,2,1,Corinthians,0,,Mirassol,2,0,Sport,3,,Fortaleza,1,0,Santos,0,16,Fortaleza,37,38,10,7,21,29,47,-18
Grêmio,1,0,Bahia,5,,Santos,1,2,Botafogo,4,,Grêmio,2,1,Corinthians,0,17,Ceará,33,38,9,6,23,22,45,-23
Palmeiras,2,1,Flamengo,0,,Juventude,1,1,Grêmio,0,,São Paulo,3,1,Vasco,0,18,Vitória,28,38,8,4,26,16,50,-34
Sport,0,0,Internacional,3,,Flamengo,3,0,Fortaleza,3,,Atlético MG,2,1,Internacional,3,19,Juventude,19,37,4,7,26,21,58,-37
Vitória,1,1,Santos,0,,Corinthians,2,0,Vitória,0,,Botafogo,1,1,Mirassol,3,20,Sport,6,38,1,3,34,10,59,-49
Fortaleza,1,1,Cruzeiro,0,,Ceará,1,1,Atlético MG,0,,Palmeiras,3,1,Juventude,3,,,,,,,,,,
Bragantino,2,0,Juventude,3,,Cruzeiro,0,1,Palmeiras,0,,Fluminense,2,0,Ceará,3,,,,,,,,LEGENDA,,
Botafogo,2,1,Ceará,4,,Internacional,1,2,Fluminense,3,,Sport,0,2,Flamengo,3,,,,,,,,,Campeão,
,,,,,,,,,,,,,,,,,,,,,,,,,Libertadores,
Rodada 13,,,,Acertos,,Rodada 14,,,,Acertos,,Rodada 15,,,,Acertos,,,,,,,,,Pré Libertadores,
Flamengo,3,1,São Paulo,4,,Palmeiras,3,1,Mirassol,0,,Fortaleza,0,1,Bahia,0,,,,,,,,,Sul Americana,
Internacional,2,0,Vitória,3,,Ceará,1,0,Corinthians,0,,Vasco,1,0,Grêmio,0,,,,,,,,,Rebaixados,
Vasco,1,2,Botafogo,3,,Santos,1,2,Flamengo,0,,Mirassol,2,1,Santos,3,,,,,,,,,,
Bahia,1,1,Atlético MG,0,,Botafogo,2,0,Vitória,0,,São Paulo,1,1,Corinthians,0,,,,,,,,,,
Corinthians,1,0,Bragantino,0,,Bragantino,0,0,São Paulo,3,,Internacional,2,0,Ceará,3,,,,,,,,,,
Cruzeiro,2,0,Grêmio,3,,Fluminense,1,0,Cruzeiro,0,,Cruzeiro,3,0,Juventude,3,,,,,,,,,,
Fortaleza,1,0,Ceará,0,,Grêmio,1,0,Fortaleza,3,,Vitória,0,1,Bragantino,0,,,,,,,,,,
Juventude,1,0,Sport,3,,Juventude,1,1,Vasco,0,,Palmeiras,2,1,Atlético MG,4,,,,,,,,,,
Mirassol,1,3,Fluminense,0,,Atlético MG,2,0,Sport,4,,Sport,1,2,Botafogo,4,,,,,,,,,,
Santos,1,1,Palmeiras,0,,Bahia,1,0,Internacional,5,,Flamengo,1,2,Fluminense,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodada 16,,,,Acertos,,Rodada 17,,,,Acertos,,Rodada 18,,,,Acertos,,,,,,,,,,
Fluminense,2,1,Palmeiras,0,,Botafogo,2,0,Corinthians,0,,Sport,0,1,Bahia,0,,,,,,,,,,
Ceará,0,1,Mirassol,3,,Fortaleza,0,1,Bragantino,0,,Mirassol,2,1,Vasco,4,,,,,,,,,,
Corinthians,1,2,Cruzeiro,0,,Mirassol,2,0,Vitória,0,,Fluminense,2,1,Grêmio,4,,,,,,,,,,
Santos,1,1,Internacional,0,,Sport,0,1,Santos,0,,Botafogo,0,1,Cruzeiro,3,,,,,,,,,,
Bragantino,0,2,Flamengo,3,,Palmeiras,2,1,Grêmio,4,,Corinthians,2,1,Fortaleza,0,,,,,,,,,,
Vitória,1,0,Sport,0,,Cruzeiro,3,0,Ceará,0,,Atlético MG,1,1,Bragantino,0,,,,,,,,,,
Juventude ,0,1,São Paulo,5,,São Paulo,1,2,Fluminense,0,,Ceará,0,2,Flamengo,0,,,,,,,,,,
Grêmio,1,0,Botafogo,0,,Bahia,2,0,Juventude,3,,Vitória,0,1,Palmeiras,0,,,,,,,,,,
Vasco,1,2,Bahia,0,,Internacional,2,1,Vasco,0,,Internacional,1,1,São Paulo,0,,,,,,,,,,
Atlético MG,1,0,Fortaleza,0,,Flamengo,3,1,Atlético MG,3,,Santos,1,0,Juventude,3,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodada 19,,,,Acertos,,Rodada 20,,,,Acertos,,Rodada 21,,,,Acertos,,,,,,,,,,
Flamengo,2,1,Mirassol,5,,Fluminense,2,0,Fortaleza,3,,Bragantino,0,2,Fluminense,0,,,,,,,,,,
São Paulo,1,0,Vitória,3,,Ceará,1,1,Bragantino,0,,Cruzeiro,2,1,Internacional,5,,,,,,,,,,
Bragantino,1,1,Internacional,0,,Vitória,1,0,Juventude,0,,Grêmio,1,0,Ceará,0,,,,,,,,,,
Fortaleza,0,0,Botafogo,0,,Sport,1,1,São Paulo,3,,Vasco,1,1,Corinthians,0,,,,,,,,,,
Bahia,1,3,Fluminense,0,,Corinthians,2,1,Bahia,0,,Bahia,2,0,Santos,5,,,,,,,,,,
Vasco,1,0,Atlético MG,0,,Santos,2,1,Vasco,0,,Fortaleza,1,1,Mirassol,0,,,,,,,,,,
Palmeiras,1,0,Ceará,4,,Atlético MG,2,1,Grêmio,0,,Juventude,2,3,Botafogo,3,,,,,,,,,,
Cruzeiro,2,1,Santos,0,,Internacional,1,1,Flamengo,0,,São Paulo,2,0,Atlético MG,5,,,,,,,,,,
Grêmio,1,0,Sport,0,,Botafogo,0,1,Palmeiras,5,,Palmeiras,3,0,Sport,5,,,,,,,,,,
Juventude,0,2,Corinthians,0,,Mirassol,2,1,Cruzeiro,0,,Flamengo,3,0,Vitória,3,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodada 22,,,,Acertos,,Rodada 23,,,,Acertos,,Rodada 24,,,,Acertos,,,,,,,,,,
Ceará,1,0,Juventude,0,,Grêmio,1,1,Mirassol,0,,Vitória,0,1,Fluminense,5,,,,,,,,,,
Botafogo,2,1,Bragantino,3,,Fortaleza,1,0,Vitória,3,,Botafogo,2,0,Atlético MG,3,,,,,,,,,,
Cruzeiro,3,1,São Paulo,3,,Palmeiras,2,1,Internacional,3,,Ceará,1,1,Bahia,5,,,,,,,,,,
Flamengo,3,1,Grêmio,0,,Fluminense,2,0,Corinthians,0,,Palmeiras,2,0,Fortaleza,3,,,,,,,,,,
Santos,1,3,Fluminense,0,,Bragantino,1,0,Sport,0,,Mirassol,3,1,Juventude,4,,,,,,,,,,
Corinthians,1,2,Palmeiras,0,,Atlético MG,2,0,Santos,0,,Flamengo,2,0,Vasco,0,,,,,,,,,,
Mirassol,2,0,Bahia,3,,Juventude,0,2,Flamengo,5,,Internacional,1,0,Grêmio,0,,,,,,,,,,
Vitória,1,1,Atlético MG,0,,São Paulo,1,1,Botafogo,0,,Sport,1,2,Corinthians,0,,,,,,,,,,
Internacional,3,1,Fortaleza,3,,Vasco,1,0,Ceará,0,,Santos,1,0,São Paulo,5,,,,,,,,,,
Sport,1,2,Vasco,4,,Bahia,1,2,Cruzeiro,5,,Cruzeiro,2,1,Bragantino,5,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodada 25,,,,Acertos,,Rodada 26,,,,Acertos,,Rodada 27,,,,Acertos,,,,,,,,,,
Fortaleza,2,1,Sport,4,,Atlético MG,1,0,Juventude,0,,Fluminense,2,1,Atlético MG,3,,,,,,,,,,
Vasco,0,1,Cruzeiro,0,,Palmeiras,2,1,Vasco,3,,Bragantino,1,1,Grêmio,0,,,,,,,,,,
Juventude,1,1,Internacional,5,,Mirassol,1,0,Bragantino,0,,Internacional,1,3,Botafogo,0,,,,,,,,,,
Atlético MG,1,1,Mirassol,0,,Sport,0,2,Fluminense,0,,Corinthians,2,1,Mirassol,3,,,,,,,,,,
Grêmio,2,0,Vitória,4,,Internacional,1,2,Corinthians,0,,Vasco,2,0,Vitória,3,,,,,,,,,,
Fluminense,2,1,Botafogo,3,,Botafogo,1,0,Bahia,4,,São Paulo,1,3,Palmeiras,3,,,,,,,,,,
Bahia,1,3,Palmeiras,0,,Santos,1,0,Grêmio,0,,Bahia,0,2,Flamengo,0,,,,,,,,,,
Bragantino,1,0,Santos,0,,Vitória,1,2,Ceará,0,,Juventude,1,0,Fortaleza,0,,,,,,,,,,
Corinthians,2,3,Flamengo,4,,Fortaleza,2,2,São Paulo,0,,Cruzeiro,3,0,Sport,0,,,,,,,,,,
São Paulo,2,0,Ceará,0,,Flamengo,1,0,Cruzeiro,0,,Ceará,1,0,Santos,3,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodada 28,,,,Acertos,,Rodada 29,,,,Acertos,,Rodada 30,,,,Acertos,,,,,,,,,,
Palmeiras,2,0,Bragantino,3,,Corinthians,1,0,Atlético MG,5,,Atlético MG,2,0,Ceará,3,,,,,,,,,,
Botafogo,1,3,Flamengo,3,,Cruzeiro,2,1,Fortaleza,4,,Vitória,0,1,Corinthians,5,,,,,,,,,,
Mirassol,2,1,Internacional,3,,Flamengo,1,1,Palmeiras,0,,Fluminense,2,1,Internacional,4,,,,,,,,,,
Sport,0,0,Ceará,3,,Mirassol,2,1,São Paulo,3,,Sport,0,2,Mirassol,3,,,,,,,,,,
Santos,1,2,Corinthians,0,,Internacional,1,0,Sport,3,,Fortaleza,0,1,Flamengo,0,,,,,,,,,,
Atlético MG,0,1,Cruzeiro,0,,Ceará,1,1,Botafogo,0,,São Paulo,1,0,Bahia,3,,,,,,,,,,
Fortaleza,0,2,Vasco,5,,Bahia,2,1,Grêmio,3,,Botafogo,2,1,Santos,0,,,,,,,,,,
Grêmio,0,0,São Paulo,0,,Juventude,0,1,Bragantino,0,,Grêmio,2,1,Juventude,3,,,,,,,,,,
Fluminense,2,0,Juventude,3,,Vasco,1,3,Fluminense,0,,Bragantino,1,2,Vasco,3,,,,,,,,,,
Vitória,1,1,Bahia,0,,Santos,2,0,Vitória,0,,Palmeiras,3,2,Cruzeiro,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodada 31,,,,Acertos,,Rodada 32,,,,Acertos,,Rodada 33,,,,Acertos,,,,,,,,,,
Santos,2,0,Fortaleza,0,,Bragantino,1,2,Corinthians,0,,Sport,0,2,Atlético MG,4,,,,,,,,,,
Cruzeiro,3,0,Vitória,3,,Vitória,1,0,Internacional,4,,Vasco,2,0,Juventude,0,,,,,,,,,,
Mirassol,1,0,Botafogo,0,,Sport,1,2,Juventude,3,,Internacional,1,1,Bahia,0,,,,,,,,,,
Flamengo,2,0,Sport,3,,Botafogo,1,1,Vasco,0,,São Paulo,1,0,Bragantino,0,,,,,,,,,,
Corinthians,1,0,Grêmio,3,,Atlético MG,1,0,Bahia,3,,Corinthians,1,0,Ceará,0,,,,,,,,,,
Bahia,1,0,Bragantino,4,,Grêmio,0,1,Cruzeiro,5,,Cruzeiro,1,2,Fluminense,0,,,,,,,,,,
Ceará,1,2,Fluminense,0,,São Paulo,1,3,Flamengo,0,,Vitória,1,2,Botafogo,0,,,,,,,,,,
Internacional,1,0,Atlético MG,0,,Fluminense,2,0,Mirassol,3,,Flamengo,2,0,Santos,3,,,,,,,,,,
Juventude,1,3,Palmeiras,4,,Ceará,1,0,Fortaleza,0,,Mirassol,0,1,Palmeiras,0,,,,,,,,,,
Vasco,2,0,São Paulo,0,,Palmeiras,2,0,Santos,5,,Fortaleza,1,1,Grêmio,3,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodada 34,,,,Acertos,,Rodada 35,,,,Acertos,,Rodada 36,,,,Acertos,,,,,,,,,,
Botafogo,1,0,Sport,4,,Botafogo,1,0,Grêmio,4,,Atlético MG,1,2,Flamengo,0,,,,,,,,,,
Fluminense,3,2,Flamengo,4,,Flamengo,2,0,Bragantino,3,,Grêmio,1,3,Palmeiras,0,,,,,,,,,,
Grêmio,2,0,Vasco,5,,Palmeiras,2,1,Fluminense,0,,Bragantino,1,0,Fortaleza,0,,,,,,,,,,
Santos,1,3,Mirassol,0,,São Paulo,1,0,Juventude,4,,Fluminense,2,0,São Paulo,3,,,,,,,,,,
Juventude,1,1,Cruzeiro,3,,Bahia,2,1,Vasco,4,,Juventude,1,2,Bahia,0,,,,,,,,,,
Bahia,2,1,Fortaleza,0,,Sport,0,1,Vitória,3,,Vasco,0,1,Internacional,0,,,,,,,,,,
Corinthians,1,2,São Paulo,0,,Cruzeiro,1,0,Corinthians,3,,Santos,2,0,Sport,3,,,,,,,,,,
Ceará,2,1,Internacional,0,,Mirassol,2,0,Ceará,3,,Vitória,0,1,Mirassol,0,,,,,,,,,,
Bragantino,1,0,Vitória,3,,Internacional,1,1,Santos,5,,Ceará,1,2,Cruzeiro,0,,,,,,,,,,
Atlético MG,1,1,Palmeiras,0,,Fortaleza,1,0,Atlético MG,5,,Corinthians,2,1,Botafogo,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodada 37,,,,Acertos,,Rodada 38,,,,Acertos,,,,,,,,,,,,,,,,
Bragantino,1,2,Atlético MG,0,,Mirassol,2,0,Flamengo,0,,,,,,,,,,,,,,,,
Palmeiras,2,0,Vitória,0,,Fluminense,3,1,Bahia,4,,,,,,,,,,,,,,,,
Vasco,2,1,Mirassol,0,,Botafogo,1,2,Fortaleza,0,,,,,,,,,,,,,,,,
Grêmio,1,3,Fluminense,3,,Corinthians,1,0,Juventude,0,,,,,,,,,,,,,,,,
Fortaleza,1,0,Corinthians,4,,Santos,1,0,Cruzeiro,3,,,,,,,,,,,,,,,,
Juventude,0,2,Santos,3,,Atlético MG,2,0,Vasco,3,,,,,,,,,,,,,,,,
São Paulo,1,2,Internacional,0,,Internacional,0,1,Bragantino,0,,,,,,,,,,,,,,,,
Bahia,2,0,Sport,3,,Vitória,1,0,São Paulo,5,,,,,,,,,,,,,,,,
Flamengo,2,1,Ceará,4,,Ceará,1,2,Palmeiras,3,,,,,,,,,,,,,,,,
Cruzeiro,1,0,Botafogo,0,,Sport,0,1,Grêmio,3,,,,,,,,,,,,,,,,